station,valid,metar
SADM,2026-08-01 00:00,SADM 010000Z 36009KT 8000 -TSRA FEW037CB OVC040 22/20 Q1002
SADM,2026-08-01 01:00,SADM 010100Z 36013KT 9000 -TSRA FEW035CB OVC040 21/20 Q1001
SADM,2026-08-01 02:00,SADM 010200Z 27008KT 9000 -TSRA FEW035CB OVC040 20/20 Q1002
SADM,2026-08-01 03:00,SADM 010300Z 18015KT 9000 -TSRA FEW032CB OVC040 19/18 Q1005
SADM,2026-08-01 04:00,SADM 010400Z 22006KT 9000 -TSRA FEW035CB OVC050 19/18 Q1006
SADM,2026-08-01 05:00,SADM 010500Z 25006KT 8000 -TSRA FEW040CB OVC050 18/18 Q1006
SADM,2026-08-01 06:00,SADM 010600Z VRB03KT 8000 -TSRA FEW045CB OVC056 18/18 Q1004
SADM,2026-08-01 07:00,SADM 010700Z 23011KT 8000 -RA FEW008 OVC050 18/18 Q1006 RE TS
SADM,2026-08-01 08:00,SADM 010800Z 20010KT 9999 OVC006 18/17 Q1007
SADM,2026-08-01 09:00,SADM 010900Z 20011KT 9999 OVC009 17/16 Q1008
SADM,2026-08-01 10:00,SADM 011000Z 19016KT 9999 OVC011 16/15 Q1007
SADM,2026-08-01 11:00,SADM 011100Z 18010KT 9999 SCT012 OVC025 16/14 Q1010
SADM,2026-08-01 12:00,SADM 011200Z 18006KT 9999 SCT015 OVC022 16/14 Q1010
SADM,2026-08-01 13:00,SADM 011300Z 20007KT 9999 BKN025 OVC100 16/14 Q1012
SADM,2026-08-01 14:00,SADM 011400Z 20009KT 9999 BKN008 OVC025 16/15 Q1012
SADM,2026-08-01 15:00,SADM 011500Z 18011KT 9999 FEW010 OVC030 16/15 Q1012
SADM,2026-08-01 16:00,SADM 011600Z 18010KT 9999 BKN020 OVC100 17/13 Q1012
SADM,2026-08-01 17:00,SADM 011700Z 18013KT 9999 FEW025 SCT200 18/13 Q1012
SADM,2026-08-01 18:00,SADM 011800Z 18012KT 9999 FEW025 19/13 Q1012
SADM,2026-08-01 19:00,SADM 011900Z 18009KT CAVOK 20/12 Q1012
SADM,2026-08-01 20:00,SADM 012000Z 18007KT CAVOK 19/11 Q1013
SADM,2026-08-01 21:00,SADM 012100Z 20006KT CAVOK 17/10 Q1013
SADM,2026-08-01 22:00,SADM 012200Z 20005KT CAVOK 16/10 Q1014
SADM,2026-08-01 23:00,SADM 012300Z 20004KT CAVOK 15/10 Q1014
SADM,2026-08-02 00:00,SADM 020000Z 09002KT CAVOK 12/11 Q1014
SADM,2026-08-02 01:00,SADM 020100Z 11002KT CAVOK 12/11 Q1015
SADM,2026-08-02 02:00,SADM 020200Z 11001KT CAVOK 11/11 Q1015
SADM,2026-08-02 03:00,SADM 020300Z 090002KT 8000 MIFG NSC 11/09 Q1015
SADM,2026-08-02 04:00,SADM 020400Z 14002KT 8000 MIFG NSC 10/09 Q1015
SADM,2026-08-02 05:00,SADM 020500Z 11002KT 8000 MIFG NSC 10/09 Q1014
SADM,2026-08-02 06:00,SADM 020600Z 14002KT 7000 MIFG BKN014 10/09 Q1015
SADM,2026-08-02 07:00,SADM 020700Z 18001KT 7000 MIFG BKN017 10/09 Q1015
SADM,2026-08-02 08:00,SADM 020800Z 16002KT 3000 MIFG BR BKN017 10/10 Q1015
SADM,2026-08-02 09:00,SADM 020900Z 05003KT 9999 OVC010 12/10 Q1016
SADM,2026-08-02 10:00,SADM 021000Z 05008KT 9999 OVC003 12/10 Q1016
SADM,2026-08-02 11:00,SADM 021100Z 36009KT 8000 OVC007 12/11 Q1016
SADM,2026-08-02 12:00,SADM 021200Z 05007KT 8000 OVC005 13/11 Q1016
SADM,2026-08-02 13:00,SADM 021300Z 05006KT 9999 OVC006 13/12 Q1016
SADM,2026-08-02 14:00,SADM 021400Z 05004KT 9999 OVC008 14/12 Q1016
SADM,2026-08-02 15:00,SADM 021500Z 07004KT 9999 OVC009 15/13 Q1016
SADM,2026-08-02 16:00,SADM 021600Z 05006KT 9999 SCT013 BKN200 16/13 Q1016
SADM,2026-08-02 17:00,COR SADM 021700Z 04007KT 9999 OVC009 16/13 Q1015
SADM,2026-08-02 18:00,SADM 021800Z 05009KT 9999 SCT010 BKN200 17/13 Q1014
SADM,2026-08-02 19:00,SADM 021900Z 02009KT 9999 SCT035 BKN200 18/14 Q1015
SADM,2026-08-02 20:00,SADM 022000Z 05004KT 9999 FEW020 BKN200 18/14 Q1015
SADM,2026-08-02 21:00,SADM 022100Z 05004KT CAVOK 17/14 Q1015
SADM,2026-08-02 22:00,SADM 022200Z 18002KT CAVOK 16/13 Q1016
SADM,2026-08-02 23:00,SADM 022300Z 18005KT CAVOK 16/14 Q1017
SADM,2026-08-03 00:00,SADM 030000Z 09005KT CAVOK 16/14 Q1017
